รายการค่าตอบแทนแพทย์ในการปฏิบัติงานและทำหัตถการนอกเวลา โรงพยาบาลวิเศษชัยชาญ,,
อ้างอิงจากบัญชีอัตราค่าตอบแทนแพทย์ตามคุณภาพและปริมาณงาน ในเอกสารแนบท้ายหลักเกณฑ์ วิธีการ และเงื่อนไข,,
การจ่ายเงินค่าตอบแทนสำหรับเจ้าหน้าที่ที่ปฏิบัติงานให้กับหน่วยบริการในสังกัดกระทรวงสาธารณสุข พ.ศ. 2566,,
,,
รหัส หัตถการ,ชื่อหัตถการ/ภาระงาน,ค่า ตอบแทน
154,"ให้การดูแลก่อนคลอดและทำคลอดปกติในรายที่แม่และเด็กมีความเสี่ยง (severe preeclampsia, abruptio plancenta, placenta previa, heart disease, thyroid crisis)",400
,,
155,"ให้การดูแลก่อนคลอดและทำคลอดผิดปกติปกติในรายที่แม่และเด็กมีความเสี่ยง (severe preeclampsia, abruptio plancenta, placenta previa, heart disease, thyroid crisis)",800
,,
156,"ทำคลอดในกรณีคลอดผิดปกติที่ใช้หัตถการช่วยคลอด (FE, VE, breech assisting)",400
157,Vaginal packing,200
158,ล้วงรก,400
159,Dilation and curettage / suction curettage,400
160,Cesarean section,800
161,Hysterectomy,1200
162,TAH (ผู้ป่วย ruptured endometriosis),1600
163,Cesarean hysterectomy (ผู้ป่วย severe PPH),1600
164,Repair uterine perforation / laceration,1200
165,Surgery for ectopic pregmancy / twisted ovarian tumour,800
166,Internal iliac artery ligation,1200
167,Anterior chamber tapping,400
168,Anterior nasal packing for control epistaxis,200
169,Posterior nasal packing for control epistaxis,400
170,Tracheostomy,400
171,ECCE in phagoglaucoma,800
172,Evisceration / enucleation,800
173,Iridectomy and laser iridotomy,400
174,Paracentesis in central retinal artery occlusion,400
175,Repair cornea or sclera with anterior vitrectomy,800
176,Repair cornea or sclera with posterior vitrectomy,1200
177,Repair canaliculi,800
178,Trabeculectomy / Trabeculotomy / Trabeculoplasty,800
179,Remove intraocular foreign body,1200
180,Penetrating keratoplasty,1200
181,Vitrectomy in endophalmitis,1200
182,Drainage mastoidectomy,800
183,Maxillary artery ligation,800
184,Optic nerve decompression,2000
185,Repair larynx,2000
186,Rigid Esophagoscopy,400
187,Orbital decompression / drainage orbital abscess,1200
188,Tracheostomy in post radiation therapy / previous tracheostomy / pediatrics / tracheal stenosis ,600
189,Ultrasonography,300
190,Colour dopple vascular ultrasound,400
191,CT scan with IV contrast,200
192,Special investigation under fluoroscopy,400
193,Barium reduction of intussusception,600
194,Diagnostic angiography,1200
195,Venography,800
196,Embolization,2400
197,FNA under guidance,400
198,Percutaneous drain under imaging,800
199,Organ transplant,10000
200,Regional anesthesia,400
201,General anesthesia,600
202,General anesthesia (กรณี open heart / aortic aneurysm),2000
203,General anesthesia (กรณี ASA class 3),800
204,General anesthesia (กรณีผ่าตัดพิเศษ ผ่าตัดสมอง ไขสันหลัง หัวใจ ทางเดินหายใจ),800
205,Blood exchange transfusion,800
206,Peritoneal dialysis / hemodialysis ในผู้ป่วย acute renal failure,400
207,Insertion of Swann-Ganz catheter,400
208,Pacemaker replacement,800
209,Umbilical catheter,400
210,Subdural tapping,400
211,Autopsy ทางนิติเวชศาสตร์และนิติวิทยาศาสตร์,-
212,Autopsy ทางพยาธิวิทยา,2000
213,การมาทำการตรวจรักษาผู้ป่วยใน โดยให้การรักษาด้วยตนเองและมีการบันทึกอาการผู้ป่วยใน กรณีที่ได้รับการร้องขอหรือการขอคำปรึกษา สำหรับผู้ป่วยเดิมที่นอนพักรักษาอยู่แล้ว,50
,,
214,การมาทำการตรวจรักษาผู้ป่วยใน โดยให้การรักษาด้วยตนเองและมีการบันทึกอาการผู้ป่วยใน กรณีที่ได้รับการร้องขอหรือการขอคำปรึกษา สำหรับผู้ป่วยรับใหม่,100
,,
215,การมาทำการตรวจรักษาผู้ป่วยใน โดยให้การรักษาด้วยตนเองและมีการบันทึกอาการผู้ป่วยใน กรณีที่ได้รับการร้องขอหรือการขอคำปรึกษา สำหรับการปรึกษาข้ามแผนก,200
,,
-,การมาทำการตรวจรักษาผู้ป่วยใน โดยให้การรักษาด้วยตนเองและมีการบันทึกอาการผู้ป่วยใน กรณีที่ได้รับการร้องขอหรือการขอคำปรึกษา กรณีผู้ป่วยหนัก ผู้ป่วยฉุกเฉิน หรือผู้ป่วยอื่นทีืมีภาวะวิกฤตใกล้เคียงกัน โดยเป็นการตรวจรักษาครั้งแรกของแพทย์สำหรับผู้ป่วยแต่ละราย,-
,,
,,
216,* การช่วยฟื้นคืนชีพ,400
217,* การช่วยเหลือผู้ป่วยหมดสติ,400
218,* การช่วยเหลือผู้ป่วยช็อก,400
219,* การช่วยเหลือผู้ป่วยภาวะหัวใจล้มเหลว,400
220,* การช่วยเหลือผู้ป่วยภาวะชักวิกฤต,400
221,* การช่วยเหลือผู้ป่วยภาวะจมน้ำ,400
222,* การช่วยเหลือผู้ป่วยภาวะฉุกเฉินทางจิตเวช,400
223,* การช่วยเหลือผู้ป่วยภาวะไตวายเฉียบพลัน,400
224,* การช่วยเหลือผู้ป่วยภาวะตับวาย,400
225,* การช่วยเหลือผู้ป่วยภาวะความดันโลหิตสูงขั้นวิกฤต,400
226,* การช่วยเหลือผู้ป่วยภาวะหัวใจล้มเหลว และหายใจไม่ทันมาก,400
227,* การช่วยเหลือผู้ป่วยภาวะติดเชื้อรุนแรง ติดเชื้อในกระแสโลหิต และมาลาเรียฉุกเฉิน,400
228,* การช่วยเหลือผู้ป่วยภาวะหัวใจขาดเลือด และหัวใจเต้นผิดปกติ,400
229,* การช่วยเหลือผู้ป่วยภาวะแพ้รุนแรง,400
230,* การช่วยเหลือผู้ป่วยภาวะตกเลือดในทางเดินอาหาร,400
